repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
zen-browser__desktop,8,40244,1342,0,20,391,10,75,76,54,420,381,2024,10
hiyouga__LlamaFactory,11,67432,8208,0,13,144,11,25,23,15,369,381,2024,3
Flowseal__zapret-discord-youtube,1,22959,1894,0,8,83,8,22,21,12,464,380,2024,10
hiyouga__LlamaFactory,5,67432,8208,1,4,67,3,6,5,3,331,380,2023,9
logseq__logseq,13,41115,2455,0,14,440,4,52,49,44,309,380,2021,5
exo-explore__exo,19,41702,2837,0,11,81,8,77,138,50,95,380,2025,12
amruthpillai__reactive-resume,59,35305,3881,0,8,106,5,25,56,32,44,380,2025,1
zen-browser__desktop,12,40244,1342,0,19,505,11,38,36,27,797,379,2025,2
astral-sh__uv,11,79604,2583,0,55,593,32,652,620,585,573,379,2024,8
zai-org__ChatGLM-6B,2,41235,5210,0,24,150,21,48,39,25,494,377,2023,4
clash-verge-rev__clash-verge-rev,17,98007,7152,0,9,235,6,44,40,33,338,376,2025,3
immich-app__immich,32,93083,4941,0,49,240,20,283,267,234,252,376,2024,9
louislam__uptime-kuma,30,83039,7427,0,53,107,32,54,67,38,108,376,2023,12
infiniflow__ragflow,24,73523,8152,1,44,315,17,332,327,307,334,375,2025,11
appsmithorg__appsmith,29,39114,4460,0,56,240,9,311,288,239,456,374,2022,10
labuladong__fucking-algorithm,55,132689,23706,0,3,12,2,2,6,5,1,374,2024,8
astral-sh__uv,12,79604,2583,0,59,387,34,416,414,372,504,372,2024,9
BerriAI__litellm,29,36574,5916,0,107,1088,73,740,692,569,391,371,2025,11
dataease__dataease,51,23425,4028,0,11,298,0,314,314,303,153,371,2025,4
hiyouga__LlamaFactory,12,67432,8208,0,11,197,5,39,34,15,409,370,2024,4
appsmithorg__appsmith,27,39114,4460,0,48,194,6,299,291,215,577,369,2022,8
calcom__cal.com,23,40283,11985,0,33,300,13,295,271,236,293,369,2023,1
astral-sh__uv,13,79604,2583,0,62,395,30,427,434,401,479,368,2024,10
open-webui__open-webui,19,124575,17612,0,82,616,58,296,285,156,374,368,2025,4
clash-verge-rev__clash-verge-rev,5,98007,7152,0,11,94,7,21,22,14,305,367,2024,3
run-llama__llama_index,17,47101,6859,0,157,350,101,388,383,350,488,366,2024,3
mastra-ai__mastra,15,21298,1582,0,51,696,19,822,797,648,438,366,2025,10
ollama__ollama,14,163117,14641,0,21,253,11,254,198,153,442,365,2024,7
SimplifyJobs__Summer2026-Internships,41,43476,3165,0,57,0,43,13,9,2,367,365,2023,9
mastra-ai__mastra,14,21298,1582,0,49,627,16,728,729,630,365,364,2025,9
zed-industries__zed,47,75691,7024,0,86,474,39,584,556,486,484,363,2024,12
