repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
sickcodes__Docker-OSX,51,52170,2901,2,3,3,3,3,0,0,5,0,2024,8
krayin__laravel-crm,18,21522,1380,7,3,3,1,3,4,1,5,0,2022,11
e2b-dev__awesome-ai-agents,6,25962,2254,9,3,17,1,3,2,2,5,0,2023,11
mattermost-community__focalboard,5,25871,2485,4,1,77,0,3,3,3,5,0,2021,2
xiaojieonly__Ehviewer_CN_SXJ,12,22498,594,0,1,8,0,3,1,0,5,0,2021,10
aristocratos__btop,23,30436,918,13,3,4,0,3,2,2,5,0,2023,3
xiaolincoder__CS-Base,34,17536,2106,33,0,0,0,3,0,0,5,0,2024,12
xinntao__Real-ESRGAN,47,34380,4267,423,0,0,0,3,2,0,5,0,2025,5
mozilla-ai__llamafile,23,23736,1267,30,0,0,0,3,0,0,5,0,2025,7
ajeetdsouza__zoxide,68,33572,737,2,2,2,0,3,3,1,5,0,2025,10
hpcaitech__ColossalAI,50,41347,4533,16,2,13,0,3,2,1,5,0,2025,11
twitter__the-algorithm,34,72766,13271,118,0,0,0,3,2,0,5,0,2025,12
NirDiamant__RAG_Techniques,13,25550,2996,0,2,7,1,2,1,1,5,0,2025,7
shadcn-ui__taxonomy,6,19157,2703,27,1,1,0,2,0,0,5,0,2023,3
sczhou__CodeFormer,21,17811,3696,220,0,0,0,2,0,0,5,0,2024,2
datalab-to__marker,6,31814,2172,87,0,0,0,2,1,0,5,0,2024,3
CompVis__stable-diffusion,21,72389,10585,530,0,0,0,2,1,0,5,0,2024,4
mingrammer__diagrams,52,42017,2719,47,0,0,0,2,1,0,5,0,2024,5
qarmin__czkawka,47,29343,969,154,0,0,0,2,0,0,5,0,2024,7
xinntao__Real-ESRGAN,48,34380,4267,453,0,0,0,2,1,0,5,0,2025,6
Wechat-ggGitHub__Awesome-GitHub-Repo,45,16550,1815,204,0,0,0,2,1,0,5,0,2025,8
yuaotian__go-cursor-help,10,25975,3149,419,0,1,0,2,1,0,5,0,2025,9
exo-explore__exo,16,41702,2837,0,2,4,0,2,0,0,5,0,2025,9
m-bain__whisperX,37,20254,2149,70,0,0,0,2,0,0,5,0,2025,12
qier222__YesPlayMusic,41,32585,4727,22,1,1,1,1,0,0,5,0,2024,2
Lissy93__dashy,52,24038,1768,5,3,9,1,1,1,1,5,0,2025,5
danielgatis__rembg,10,21923,2228,36,0,0,0,1,1,0,5,0,2021,5
ibraheemdev__modern-unix,16,32766,823,174,0,0,0,1,1,0,5,0,2022,4
rahuldkjain__github-profile-readme-generator,35,24005,8256,336,0,0,0,1,1,0,5,0,2023,5
mingrammer__diagrams,43,42017,2719,100,0,0,0,1,0,0,5,0,2023,8
twitter__the-algorithm,15,72766,13271,322,0,0,0,1,0,0,5,0,2024,5
CompVis__stable-diffusion,22,72389,10585,561,0,0,0,1,2,0,5,0,2024,5
Wechat-ggGitHub__Awesome-GitHub-Repo,32,16550,1815,840,0,0,0,1,0,0,5,0,2024,7
mouredev__Hello-Python,25,34480,2254,28,1,1,0,1,0,0,5,0,2024,8
motion-canvas__motion-canvas,34,18182,716,103,0,0,0,1,0,0,5,0,2025,5
dzhng__deep-research,6,18470,1905,53,0,0,0,1,0,0,5,0,2025,7
zhayujie__chatgpt-on-wechat,40,41351,9745,38,0,0,0,1,2,0,5,0,2025,11
Evil0ctal__Douyin_TikTok_Download_API,50,16349,2400,79,0,0,0,1,0,0,5,0,2025,12
YunaiV__ruoyi-vue-pro,11,35455,7676,1,13,84,7,0,0,0,5,0,2021,11
pppscn__SmsForwarder,7,24598,3126,37,0,0,0,0,0,0,5,0,2021,8
openai__CLIP,16,32610,3924,63,0,0,0,0,1,0,5,0,2022,3
lyswhut__lx-music-mobile,15,15657,1776,8,1,8,0,0,0,0,5,0,2022,7
lyswhut__lx-music-mobile,17,15657,1776,1,1,5,0,0,0,0,5,0,2022,9
Wechat-ggGitHub__Awesome-GitHub-Repo,12,16550,1815,231,0,0,0,0,0,0,5,0,2022,11
Wechat-ggGitHub__Awesome-GitHub-Repo,21,16550,1815,505,0,0,0,0,0,0,5,0,2023,8
Wechat-ggGitHub__Awesome-GitHub-Repo,23,16550,1815,566,0,0,0,0,0,0,5,0,2023,10
freefq__free,42,39492,5672,0,1,180,0,0,0,0,5,0,2023,11
tatsu-lab__stanford_alpaca,9,30265,4010,183,0,0,0,0,0,0,5,0,2023,11
sczhou__CodeFormer,18,17811,3696,129,0,0,0,0,1,0,5,0,2023,11
Wechat-ggGitHub__Awesome-GitHub-Repo,25,16550,1815,627,0,0,0,0,0,0,5,0,2023,12
openai__CLIP,39,32610,3924,235,0,0,0,0,0,0,5,0,2024,2
Universidade-Livre__ciencia-da-computacao,33,19485,1542,37,0,0,0,0,0,0,5,0,2024,2
zai-org__ChatGLM-6B,15,41235,5210,216,0,0,0,0,0,0,5,0,2024,5
freefq__free,50,39492,5672,175,0,0,0,0,0,0,5,0,2024,7
Vision-CAIR__MiniGPT-4,16,25759,2922,209,0,0,0,0,0,0,5,0,2024,7
microsoft__BitNet,6,28560,2341,41,0,0,0,0,0,0,5,0,2025,1
motion-canvas__motion-canvas,30,18182,716,47,0,0,0,0,0,0,5,0,2025,1
Wechat-ggGitHub__Awesome-GitHub-Repo,38,16550,1815,1024,0,0,0,0,0,0,5,0,2025,1
xinntao__Real-ESRGAN,44,34380,4267,331,0,0,0,0,0,0,5,0,2025,2
twitter__the-algorithm,24,72766,13271,595,0,0,0,0,1,0,5,0,2025,2
mattermost-community__focalboard,55,25871,2485,214,0,0,0,0,0,0,5,0,2025,4
twitter__the-algorithm,28,72766,13271,717,0,0,0,0,3,0,5,0,2025,6
AykutSarac__jsoncrack.com,44,43351,3486,8,1,4,0,0,0,0,5,0,2025,8
black-forest-labs__flux,13,25220,1854,30,0,0,0,0,0,0,5,0,2025,8
harry0703__MoneyPrinterTurbo,21,49577,7035,56,0,0,0,0,0,0,5,0,2025,11
block__goose,5,30944,2805,13,7,19,1,145,128,100,4,0,2024,12
inkonchain__docs,8,36844,451,0,12,194,8,51,47,46,4,0,2024,12
DevToys-app__DevToys,48,30981,1709,191,0,0,0,29,29,0,4,0,2025,8
carbon-language__carbon-lang,2,33638,1525,0,3,12,1,25,20,19,4,0,2020,5
bytedance__UI-TARS-desktop,12,28162,2750,15,4,11,0,16,16,12,4,0,2025,12
mingrammer__diagrams,35,42017,2719,33,0,0,0,14,5,0,4,0,2022,12
microsoft__autogen,29,54714,8239,87,0,0,0,14,2,0,4,0,2025,12
xiaolincoder__CS-Base,20,17536,2106,8,3,29,1,13,16,16,4,0,2023,10
carbon-language__carbon-lang,8,33638,1525,4,5,9,0,13,10,9,4,0,2020,11
stitionai__devika,10,19480,2591,102,0,0,0,13,2,0,4,0,2024,12
saturn-abhishek__awesome-github-profile-readme,43,29191,4276,478,0,0,0,11,8,0,4,0,2024,1
FuelLabs__sway,60,61936,5430,13,4,11,0,11,11,11,4,0,2025,12
srbhr__Resume-Matcher,63,25988,4698,12,2,9,0,10,6,3,4,0,2025,6
charmbracelet__vhs,42,18698,371,15,1,3,0,10,3,3,4,0,2025,12
microsoft__Data-Science-For-Beginners,32,33969,6962,0,5,14,3,9,7,6,4,0,2023,10
Anduin2017__HowToCook,43,98025,10826,0,4,6,2,8,7,2,4,0,2023,8
atuinsh__atuin,5,28344,777,11,2,46,0,8,8,8,4,0,2021,2
saturn-abhishek__awesome-github-profile-readme,46,29191,4276,568,0,0,0,8,9,0,4,0,2024,4
charmbracelet__vhs,25,18698,371,60,0,0,0,8,5,0,4,0,2024,7
FuelLabs__fuel-core,65,57363,2859,29,1,2,0,8,5,4,4,0,2025,12
xiaolincoder__CS-Base,17,17536,2106,4,4,16,2,7,6,6,4,0,2023,7
mattermost-community__focalboard,45,25871,2485,19,2,4,1,7,5,3,4,0,2024,6
rahuldkjain__github-profile-readme-generator,20,24005,8256,118,0,0,0,7,3,0,4,0,2022,2
srbhr__Resume-Matcher,51,25988,4698,11,2,3,0,7,1,1,4,0,2024,6
Cinnamon__kotaemon,17,25143,2100,28,2,2,0,7,5,2,4,0,2025,7
dair-ai__Prompt-Engineering-Guide,33,70632,7529,1,1,8,0,7,3,3,4,0,2025,8
srbhr__Resume-Matcher,68,25988,4698,12,2,8,0,7,6,3,4,0,2025,11
voideditor__void,16,28236,2324,145,0,0,0,7,6,0,4,0,2025,12
rahuldkjain__github-profile-readme-generator,33,24005,8256,275,0,0,0,6,1,0,4,0,2023,3
shadcn-ui__taxonomy,21,19157,2703,427,0,0,0,6,2,0,4,0,2024,6
Lissy93__web-check,22,32078,2524,1,2,3,0,6,2,2,4,0,2025,3
google-gemini__gemini-fullstack-langgraph-quickstart,4,17887,3066,73,0,0,0,6,2,0,4,0,2025,8
abiosoft__colima,32,27054,537,13,5,7,3,5,7,7,4,0,2024,4
Anduin2017__HowToCook,49,98025,10826,5,2,3,0,5,4,2,4,0,2024,2
rahuldkjain__github-profile-readme-generator,50,24005,8256,794,0,0,0,5,1,0,4,0,2024,8
charmbracelet__vhs,35,18698,371,0,2,2,0,5,3,2,4,0,2025,5
mckaywrigley__chatbot-ui,28,33041,9470,372,0,0,0,5,3,0,4,0,2025,6
xinntao__Real-ESRGAN,51,34380,4267,545,0,0,0,5,0,0,4,0,2025,9
rahuldkjain__github-profile-readme-generator,10,24005,8256,3,2,4,1,4,3,2,4,0,2021,4
Z4nzu__hackingtool,67,55011,6001,16,1,1,1,4,3,1,4,0,2025,10
atuinsh__atuin,10,28344,777,59,0,0,0,4,4,0,4,0,2021,7
exo-explore__exo,14,41702,2837,0,6,91,4,3,2,0,4,0,2025,7
dibingfa__flash-linux0.11-talk,4,22054,2915,0,5,13,3,3,4,4,4,0,2022,2
Cinnamon__kotaemon,16,25143,2100,24,3,3,3,3,4,3,4,0,2025,6
mingrammer__diagrams,56,42017,2719,0,2,3,2,3,1,1,4,0,2024,9
anthropics__claude-cookbooks,17,33190,3445,11,1,3,1,3,2,1,4,0,2024,12
mingrammer__diagrams,26,42017,2719,49,0,0,0,3,0,0,4,0,2022,3
alan2207__bulletproof-react,18,34473,3145,81,0,0,0,3,3,0,4,0,2022,10
samber__lo,20,20988,936,15,1,1,0,3,0,0,4,0,2023,10
Z4nzu__hackingtool,48,55011,6001,158,0,0,0,3,0,0,4,0,2024,3
openai__tiktoken,22,17348,1385,139,0,0,0,3,2,0,4,0,2024,9
rahuldkjain__github-profile-readme-generator,55,24005,8256,947,0,0,0,3,1,0,4,0,2025,1
fanmingming__live,30,27679,4168,0,3,370,0,3,4,3,4,0,2025,4
Cinnamon__kotaemon,15,25143,2100,45,0,0,0,3,1,0,4,0,2025,5
enescingoz__awesome-n8n-templates,1,19353,5515,5,3,23,3,2,2,2,4,0,2025,5
langchain-ai__langchain,1,127113,20906,0,2,20,2,2,2,2,4,0,2022,10
alan2207__bulletproof-react,24,34473,3145,8,2,2,1,2,1,1,4,0,2023,4
abi__screenshot-to-code,17,71711,8851,10,2,4,1,2,2,1,4,0,2025,3
Anduin2017__HowToCook,67,98025,10826,29,2,2,1,2,2,1,4,0,2025,8
rahuldkjain__github-profile-readme-generator,23,24005,8256,210,0,0,0,2,0,0,4,0,2022,5
rahuldkjain__github-profile-readme-generator,46,24005,8256,671,0,0,0,2,1,0,4,0,2024,4
Z4nzu__hackingtool,49,55011,6001,188,0,0,0,2,0,0,4,0,2024,4
apple__ml-stable-diffusion,21,17798,1048,7,1,1,0,2,2,1,4,0,2024,7
stitionai__devika,8,19480,2591,41,0,0,0,2,2,0,4,0,2024,10
mckaywrigley__chatbot-ui,23,33041,9470,222,0,0,0,2,1,0,4,0,2025,1
zylon-ai__private-gpt,22,57117,7611,106,0,0,0,2,0,0,4,0,2025,2
meta-llama__llama3,13,29256,3516,63,0,0,0,2,0,0,4,0,2025,3
VectifyAI__PageIndex,3,16484,1181,0,2,9,0,2,1,1,4,0,2025,6
meta-llama__llama,31,59159,9826,216,0,0,0,2,2,0,4,0,2025,8
browser-use__web-ui,10,15610,2688,60,0,0,0,2,1,0,4,0,2025,10
modelcontextprotocol__python-sdk,1,21769,3105,0,2,3,2,1,1,1,4,0,2024,9
coder2gwy__coder2gwy,15,27584,3725,407,0,0,0,1,1,0,4,0,2022,2
reflex-dev__reflex,1,28144,1691,,0,0,0,1,1,1,4,0,2022,10
amusi__CVPR2025-Papers-with-Code,41,21865,2778,30,0,0,0,1,1,0,4,0,2023,6
krayin__laravel-crm,27,21522,1380,40,0,0,0,1,0,0,4,0,2023,8
openai__CLIP,33,32610,3924,53,0,0,0,1,0,0,4,0,2023,8
rahuldkjain__github-profile-readme-generator,39,24005,8256,458,0,0,0,1,2,0,4,0,2023,9
labuladong__fucking-algorithm,45,132689,23706,0,1,2,0,1,0,0,4,0,2023,10
microsoft__JARVIS,8,24556,2065,94,0,0,0,1,0,0,4,0,2023,10
apple__ml-stable-diffusion,14,17798,1048,46,0,0,0,1,0,0,4,0,2023,12
Wechat-ggGitHub__Awesome-GitHub-Repo,28,16550,1815,718,0,0,0,1,0,0,4,0,2024,3
mattermost-community__focalboard,43,25871,2485,67,0,0,0,1,1,0,4,0,2024,4
suno-ai__bark,16,38982,4682,116,0,0,0,1,0,0,4,0,2024,7
Vision-CAIR__MiniGPT-4,17,25759,2922,240,0,0,0,1,1,0,4,0,2024,8
rahuldkjain__github-profile-readme-generator,51,24005,8256,824,0,0,0,1,1,0,4,0,2024,9
suno-ai__bark,20,38982,4682,238,0,0,0,1,2,0,4,0,2024,11
lizongying__my-tv,12,32262,3623,182,0,0,0,1,0,0,4,0,2024,11
motion-canvas__motion-canvas,28,18182,716,49,0,0,0,1,0,0,4,0,2024,11
AutomaApp__automa,40,21028,2293,14,1,17,0,1,0,0,4,0,2025,1
feder-cr__Jobs_Applier_AI_Agent_AIHawk,7,29363,4467,25,1,1,0,1,0,0,4,0,2025,2
openai__CLIP,51,32610,3924,268,0,0,0,1,0,0,4,0,2025,2
Z4nzu__hackingtool,59,55011,6001,98,0,0,0,1,0,0,4,0,2025,2
mattermost-community__focalboard,56,25871,2485,245,0,0,0,1,0,0,4,0,2025,5
Wechat-ggGitHub__Awesome-GitHub-Repo,42,16550,1815,112,0,0,0,1,0,0,4,0,2025,5
openinterpreter__open-interpreter,24,62324,5362,67,0,0,0,1,0,0,4,0,2025,6
leiurayer__downkyi,55,24091,2559,144,0,0,0,1,0,0,4,0,2025,6
nomic-ai__gpt4all,29,77151,8320,64,0,0,0,1,0,0,4,0,2025,7
meta-llama__llama,30,59159,9826,185,0,0,0,1,1,0,4,0,2025,7
qier222__YesPlayMusic,58,32585,4727,30,0,0,0,1,2,0,4,0,2025,7
fanmingming__live,35,27679,4168,0,1,359,0,1,0,0,4,0,2025,9
nomic-ai__gpt4all,32,77151,8320,156,0,0,0,1,1,0,4,0,2025,10
meta-llama__llama,33,59159,9826,277,0,0,0,1,1,0,4,0,2025,10
lm-sys__FastChat,33,39414,4779,180,0,0,0,1,1,0,4,0,2025,11
leiurayer__downkyi,1,24091,2559,4,1,8,1,0,0,0,4,0,2020,12
lyswhut__lx-music-mobile,2,15657,1776,0,1,22,0,0,0,0,4,0,2021,6
massgravel__Microsoft-Activation-Scripts,20,166394,16012,75,0,0,0,0,0,0,4,0,2021,8
Anjok07__ultimatevocalremovergui,17,23674,1768,167,0,0,0,0,0,0,4,0,2021,11
Textualize__textual,9,34384,1102,2,1,14,0,0,0,0,4,0,2021,12
ibraheemdev__modern-unix,12,32766,823,54,0,0,0,0,0,0,4,0,2021,12
dragonflydb__dragonfly,2,30024,1148,17,1,15,0,0,0,0,4,0,2022,1
521xueweihan__GitHub520,25,27885,2654,0,1,372,0,0,0,0,4,0,2022,5
ibraheemdev__modern-unix,18,32766,823,50,0,0,0,0,0,0,4,0,2022,6
Wechat-ggGitHub__Awesome-GitHub-Repo,11,16550,1815,201,0,0,0,0,0,0,4,0,2022,10
geekan__HowToLiveLonger,11,34910,2379,299,0,0,0,0,0,0,4,0,2023,2
Wechat-ggGitHub__Awesome-GitHub-Repo,16,16550,1815,352,0,0,0,0,0,0,4,0,2023,3
microsoft__Swin-Transformer,29,15715,2212,213,0,0,0,0,0,0,4,0,2023,7
Wechat-ggGitHub__Awesome-GitHub-Repo,20,16550,1815,474,0,0,0,0,0,0,4,0,2023,7
Z4nzu__hackingtool,46,55011,6001,98,0,0,0,0,0,0,4,0,2024,1
karpathy__minGPT,43,23639,3115,416,0,0,0,0,0,0,4,0,2024,2
mouredev__Hello-Python,20,34480,2254,106,0,0,0,0,0,0,4,0,2024,3
TencentARC__GFPGAN,38,37378,6278,27,1,1,0,0,0,0,4,0,2024,4
microsoft__Swin-Transformer,39,15715,2212,120,0,0,0,0,0,0,4,0,2024,5
Wechat-ggGitHub__Awesome-GitHub-Repo,30,16550,1815,779,0,0,0,0,0,0,4,0,2024,5
TencentARC__GFPGAN,40,37378,6278,88,0,0,0,0,0,0,4,0,2024,6
CompVis__stable-diffusion,25,72389,10585,653,0,0,0,0,0,0,4,0,2024,8
anoma__anoma,43,34055,4113,0,6,192,0,0,0,0,4,0,2024,8
datalab-to__surya,9,19299,1326,0,1,6,0,0,0,0,4,0,2024,9
mouredev__Hello-Python,26,34480,2254,5,1,1,0,0,0,0,4,0,2024,9
sczhou__CodeFormer,28,17811,3696,10,1,1,0,0,0,0,4,0,2024,9
lllyasviel__ControlNet,22,33657,2998,447,0,0,0,0,0,0,4,0,2024,11
Vision-CAIR__MiniGPT-4,21,25759,2922,119,0,0,0,0,0,0,4,0,2024,12
microsoft__Swin-Transformer,46,15715,2212,168,0,0,0,0,0,0,4,0,2024,12
mattermost-community__focalboard,52,25871,2485,125,0,0,0,0,0,0,4,0,2025,1
lizongying__my-tv,14,32262,3623,244,0,0,0,0,0,0,4,0,2025,1
freefq__free,57,39492,5672,387,0,0,0,0,0,0,4,0,2025,2
xinntao__Real-ESRGAN,45,34380,4267,362,0,0,0,0,1,0,4,0,2025,3
zylon-ai__private-gpt,23,57117,7611,137,0,0,0,0,0,0,4,0,2025,3
0x192__universal-android-debloater,43,18824,989,750,0,0,0,0,0,0,4,0,2025,4
Stability-AI__generative-models,25,26931,3048,40,0,0,0,0,0,0,4,0,2025,6
mouredev__Hello-Python,36,34480,2254,152,0,0,0,0,0,0,4,0,2025,7
qier222__YesPlayMusic,59,32585,4727,3,1,2,0,0,0,0,4,0,2025,8
suno-ai__bark,29,38982,4682,512,0,0,0,0,0,0,4,0,2025,8
Wechat-ggGitHub__Awesome-GitHub-Repo,46,16550,1815,234,0,0,0,0,0,0,4,0,2025,9
zhayujie__chatgpt-on-wechat,38,41351,9745,52,0,0,0,0,0,0,4,0,2025,9
binary-husky__gpt_academic,32,70116,8395,40,0,0,0,0,0,0,4,0,2025,10
microsoft__VibeVoice,3,23396,2576,55,0,0,0,0,0,0,4,0,2025,10
NaiboWang__EasySpider,65,44097,5394,1,1,1,0,0,3,1,4,0,2025,11
JaidedAI__EasyOCR,69,28981,3537,431,0,0,0,0,0,0,4,0,2025,11
Z4nzu__hackingtool,69,55011,6001,77,0,0,0,0,0,0,4,0,2025,12
AutomaApp__automa,51,21028,2293,69,0,0,0,0,0,0,4,0,2025,12
openai__gpt-oss,3,19815,2045,2,53,88,53,156,98,70,3,0,2025,8
hcengineering__platform,26,24470,1707,0,9,105,0,119,114,105,3,0,2023,9
carbon-language__carbon-lang,49,33638,1525,0,9,79,3,81,85,79,3,0,2024,4
saturn-abhishek__awesome-github-profile-readme,4,29191,4276,0,3,0,2,65,4,0,3,0,2020,10
microsoft__graphrag,3,31026,3271,,0,0,0,46,45,34,3,0,2024,5
getzep__graphiti,3,23009,2269,0,3,37,0,34,39,37,3,0,2024,10
inkonchain__docs,11,36844,451,3,6,40,2,33,31,20,3,0,2025,3
krayin__laravel-crm,38,21522,1380,0,4,211,1,33,29,26,3,0,2024,7
withfig__autocomplete,40,25074,5508,2,8,27,2,28,19,18,3,0,2023,12
0x192__universal-android-debloater,45,18824,989,811,0,0,0,23,3,0,3,0,2025,6
nvim-lua__kickstart.nvim,41,29519,44467,161,0,0,0,20,15,0,3,0,2025,10
saturn-abhishek__awesome-github-profile-readme,16,29191,4276,12,1,0,1,16,4,0,3,0,2021,10
charmbracelet__bubbletea,71,39657,1094,5,3,4,1,16,11,10,3,0,2025,11
linera-io__linera-protocol,3,32134,2294,12,2,23,1,13,12,10,3,0,2022,2
saturn-abhishek__awesome-github-profile-readme,27,29191,4276,212,0,0,0,12,8,0,3,0,2022,9
charmbracelet__bubbletea,17,39657,1094,0,3,17,2,11,12,12,3,0,2021,5
saturn-abhishek__awesome-github-profile-readme,33,29191,4276,172,0,0,0,11,11,0,3,0,2023,3
agentsmd__agents.md,4,17865,1266,38,0,0,0,10,2,0,3,0,2025,11
bradtraversy__design-resources-for-developers,67,64830,11979,12,3,3,3,9,4,1,3,0,2025,11
samber__lo,26,20988,936,132,0,0,0,9,1,0,3,0,2024,4
patchy631__ai-engineering-hub,4,30485,4942,0,3,56,0,9,6,5,3,0,2025,1
saturn-abhishek__awesome-github-profile-readme,57,29191,4276,903,0,0,0,9,5,0,3,0,2025,3
mckaywrigley__chatbot-ui,30,33041,9470,434,0,0,0,9,5,0,3,0,2025,8
karpathy__nanoGPT,23,53566,9070,149,0,0,0,8,7,0,3,0,2024,10
saturn-abhishek__awesome-github-profile-readme,53,29191,4276,782,0,0,0,7,2,0,3,0,2024,11
Anduin2017__HowToCook,60,98025,10826,9,5,15,3,6,6,5,3,0,2025,1
Lissy93__web-check,14,32078,2524,7,3,8,1,6,4,2,3,0,2024,7
spacedriveapp__spacedrive,40,37051,1209,0,5,26,1,6,10,6,3,0,2024,12
ashishpatel26__500-AI-Agents-Projects,8,24447,4224,19,2,4,1,6,2,1,3,0,2025,7
samber__lo,23,20988,936,42,0,0,0,6,1,0,3,0,2024,1
srbhr__Resume-Matcher,50,25988,4698,9,2,3,0,6,1,1,3,0,2024,5
AUTOMATIC1111__stable-diffusion-webui,38,160723,29984,429,0,0,0,6,5,1,3,0,2025,9
google__zx,56,45168,1204,27,2,2,0,6,3,2,3,0,2025,12
deepseek-ai__awesome-deepseek-integration,24,35500,3957,96,0,0,0,6,0,0,3,0,2025,12
tinygrad__tinygrad,19,31406,3909,24,3,3,3,5,4,3,3,0,2022,4
scottbez1__smartknob,21,21429,1232,9,3,9,2,5,6,6,3,0,2023,6
chidiwilliams__buzz,1,17942,1315,0,1,46,1,5,4,4,3,0,2022,9
openai__openai-python,26,30027,4563,12,2,3,0,5,4,3,3,0,2022,11
stanford-oval__storm,15,27916,2533,28,1,2,0,5,2,1,3,0,2025,5
e2b-dev__awesome-ai-agents,26,25962,2254,154,0,0,0,5,1,0,3,0,2025,7
charmbracelet__bubbletea,72,39657,1094,36,0,0,0,5,1,1,3,0,2025,12
arthurspk__guiadevbrasil,8,15574,1806,0,6,13,3,4,6,5,3,0,2022,5
apple__ml-stable-diffusion,24,17798,1048,7,3,6,1,4,4,4,3,0,2024,10
Lissy93__dashy,49,24038,1768,4,2,11,1,4,1,0,3,0,2025,2
amusi__CVPR2025-Papers-with-Code,42,21865,2778,61,0,0,0,4,0,0,3,0,2023,7
openai__CLIP,35,32610,3924,114,0,0,0,4,2,0,3,0,2023,10
Lissy93__web-check,15,32078,2524,13,2,3,0,4,4,2,3,0,2024,8
mckaywrigley__chatbot-ui,31,33041,9470,464,0,0,0,4,0,0,3,0,2025,9
datawhalechina__self-llm,24,28301,2823,0,5,22,0,4,4,4,3,0,2025,10
t3-oss__create-t3-app,38,28553,1447,20,2,2,1,3,4,2,3,0,2025,6
openai__openai-python,14,30027,4563,34,0,0,0,3,1,0,3,0,2021,11
ibraheemdev__modern-unix,14,32766,823,113,0,0,0,3,0,0,3,0,2022,2
rahuldkjain__github-profile-readme-generator,36,24005,8256,366,0,0,0,3,3,0,3,0,2023,6
mingrammer__diagrams,42,42017,2719,69,0,0,0,3,0,0,3,0,2023,7
hiddify__hiddify-app,5,26589,2291,0,2,149,0,3,2,0,3,0,2023,9
labuladong__fucking-algorithm,44,132689,23706,9,1,4,0,3,1,0,3,0,2023,9
shadcn-ui__taxonomy,19,19157,2703,366,0,0,0,3,1,0,3,0,2024,4
black-forest-labs__flux,8,25220,1854,52,0,0,0,3,0,0,3,0,2025,3
openai__tiktoken,29,17348,1385,51,0,0,0,3,0,0,3,0,2025,4
karpathy__llm.c,15,28936,3395,50,0,0,0,3,5,2,3,0,2025,6
0x192__universal-android-debloater,46,18824,989,842,0,0,0,3,2,0,3,0,2025,7
motion-canvas__motion-canvas,37,18182,716,195,0,0,0,3,0,0,3,0,2025,8
mattermost-community__focalboard,59,25871,2485,80,0,0,0,3,2,0,3,0,2025,8
exo-explore__exo,18,41702,2837,1,3,25,0,3,2,0,3,0,2025,11
langflow-ai__langflow,1,144963,8478,0,5,167,5,2,2,1,3,0,2023,2
alan2207__bulletproof-react,11,34473,3145,0,2,2,1,2,0,0,3,0,2022,3
microsoft__Swin-Transformer,41,15715,2212,15,2,3,1,2,1,1,3,0,2024,7
samber__lo,14,20988,936,25,1,1,0,2,0,0,3,0,2023,4
karpathy__minGPT,35,23639,3115,172,0,0,0,2,0,0,3,0,2023,6
chenfei-wu__TaskMatrix,6,34257,3256,62,0,0,0,2,0,0,3,0,2023,8
suno-ai__bark,11,38982,4682,153,0,0,0,2,0,0,3,0,2024,2
TencentARC__GFPGAN,41,37378,6278,119,0,0,0,2,0,0,3,0,2024,7
suno-ai__bark,21,38982,4682,269,0,0,0,2,0,0,3,0,2024,12
sczhou__CodeFormer,31,17811,3696,82,0,0,0,2,1,0,3,0,2024,12
anthropics__claude-cookbooks,19,33190,3445,3,1,2,0,2,1,1,3,0,2025,2
JaidedAI__EasyOCR,64,28981,3537,278,0,0,0,2,0,0,3,0,2025,6
zylon-ai__private-gpt,26,57117,7611,228,0,0,0,2,0,0,3,0,2025,6
rahuldkjain__github-profile-readme-generator,61,24005,8256,1128,0,0,0,2,2,0,3,0,2025,7
browser-use__web-ui,9,15610,2688,29,0,0,0,2,0,0,3,0,2025,9
mingrammer__diagrams,71,42017,2719,1,1,1,0,2,1,1,3,0,2025,12
patchy631__ai-engineering-hub,5,30485,4942,0,3,30,1,1,1,1,3,0,2025,2
arthurspk__guiadevbrasil,3,15574,1806,60,0,0,0,1,0,0,3,0,2021,12
Wechat-ggGitHub__Awesome-GitHub-Repo,17,16550,1815,382,0,0,0,1,0,0,3,0,2023,4
AykutSarac__jsoncrack.com,18,43351,3486,0,1,17,0,1,1,1,3,0,2023,6
scottbez1__smartknob,24,21429,1232,18,1,3,0,1,2,1,3,0,2023,9
fishaudio__fish-speech,2,24979,2084,0,1,41,0,1,0,0,3,0,2023,11
arthurspk__guiadevbrasil,26,15574,1806,179,0,0,0,1,1,0,3,0,2023,11
microsoft__Swin-Transformer,34,15715,2212,136,0,0,0,1,0,0,3,0,2023,12
karpathy__nn-zero-to-hero,21,20376,2899,100,0,0,0,1,0,0,3,0,2024,5
gitroomhq__postiz-app,14,26739,4616,0,2,42,0,1,0,0,3,0,2024,8
arthurspk__guiadevbrasil,35,15574,1806,454,0,0,0,1,0,0,3,0,2024,8
TencentARC__GFPGAN,44,37378,6278,211,0,0,0,1,0,0,3,0,2024,10
myshell-ai__OpenVoice,14,35997,4022,6,1,4,0,1,0,0,3,0,2024,12
0x192__universal-android-debloater,42,18824,989,720,0,0,0,1,0,0,3,0,2025,3
amusi__CVPR2025-Papers-with-Code,63,21865,2778,49,0,0,0,1,1,0,3,0,2025,4
TencentARC__GFPGAN,50,37378,6278,392,0,0,0,1,0,0,3,0,2025,4
